block,NumSp,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R1_b0,1,745.6732999999999,680.33,448.0083000000001,452.5311,318.2816,288.94570000000004,292.19589999999994,156.5288888888889,104.07811111111111,385.1911111111111,195.24666666666667,190.08,145.62,141.40333333333334,163.76666666666665,177.25222222222223,157.31333333333333,148.86333333333334,173.30000000000004,169.01,97.24333333333334,98.88444444444445
R1_b1,1,1062.0004999999999,1037.4599000000003,608.1005,761.2937,454.5105,477.6044,422.74269999999996,244.98666666666668,165.8203333333333,616.558888888889,289.6166666666667,284.9122222222222,209.02444444444447,233.215,290.2344444444444,189.76111111111112,233.86111111111111,253.7466666666667,257.77444444444444,235.2622222222222,208.62444444444444,166.14555555555555
R1_b2,1,905.4196999999998,989.5522000000001,582.3607999999999,1017.6133,386.7465,339.94540000000006,342.0384,252.98999999999998,118.29787499999999,443.56375,193.63125000000002,277.72375,213.38125000000002,222.697875,254.50875000000005,227.08375,267.46375,312.31999999999994,269.4275,219.14375,185.8725,173.50875
R1_b3,1,1114.8067999999998,918.2004000000001,594.4291000000001,560.2561,430.5894,405.0204,283.8351,170.97,122.04111111111109,475.7211111111111,249.18666666666664,287.0344444444444,210.60666666666668,238.05944444444444,244.5388888888889,191.20000000000002,218.0388888888889,218.0377777777778,209.46777777777777,210.12333333333333,193.4077777777778,157.4022222222222
R1_b4,1,957.2697000000001,936.3860000000001,528.0663,654.7855000000001,392.1001,312.40250000000003,327.3496,141.95444444444445,114.54750000000001,492.54625,256.8,268.02,209.60000000000002,223.95,254.1775,163.23125,209.76375,186.05749999999998,229.5575,167.49,171.28624999999997,140.32375000000002
R1_b5,1,762.0065999999999,1070.6952,505.3688,836.1909000000002,342.0946,309.5282,329.38100000000003,157.43222222222224,97.29162500000001,463.055,221.58,195.94000000000003,183.76375,167.79250000000002,206.965,157.01,188.00625,159.66250000000002,192.46125,156.7725,126.7525,123.53999999999999
R1_b6,1,988.4200000000001,702.6084999999999,495.5786,624.1065,362.76390000000004,305.64039999999994,273.4069,208.59444444444443,99.61562499999998,451.25875,197.84625,250.25625000000002,189.69625000000002,199.05624999999998,176.2575,187.7475,220.8375,200.52875,210.33374999999998,202.72500000000002,144.0725,146.8475
R1_b7,1,951.6635999999999,793.1495,527.0323000000001,525.508,389.43860000000006,368.96180000000004,265.3307,160.21499999999997,123.66912499999998,472.765,241.37,266.87249999999995,211.39,234.550625,241.81374999999997,169.2125,219.9875,217.67000000000002,208.35125,195.7225,194.26749999999998,163.3175
R1_b8,1,1133.3002,870.4267,582.7112999999999,822.6831999999998,456.2266000000001,431.6142999999999,425.83869999999996,262.10125,117.9275,647.60625,266.37125000000003,303.25875,203.9925,235.38687499999997,288.7674999999999,191.94375000000002,241.12125,240.39999999999998,277.44124999999997,224.5575,231.41874999999996,188.65375
R1_b9,1,799.6766,741.2375,554.1570999999999,592.1985999999999,391.09709999999995,288.4434,235.02850000000004,156.87000000000003,106.477875,442.74625000000003,217.10250000000002,245.21750000000003,219.39000000000001,252.776625,233.92000000000002,207.15875,249.25625,268.42375,245.84000000000003,202.76999999999998,190.75375,166.3275
