plot,NumSp,Yn,Omega2,Delta2,I2_obs,Phi2_obs,I2_scalar,I2_cdsm,Phi2_scalar,Phi2_cdsm
R1_b0,1,232.5147156862745,0.07320453383911874,-0.02098809583776462,0.30683818271298,0.6311335217619158,,0.3561812968111231,,0.4589745523695822
R1_b1,1,348.33131307189547,0.254246812790878,-0.589728142169528,0.32736952861147584,0.6951775997635068,,0.553856749176383,,0.6704103106019962
R1_b2,1,308.6107794117647,0.11296027601491021,-1.5899633507414088,0.2926275368736294,0.7468146746618254,,0.5545026169506613,,0.761897734777935
R1_b3,1,310.5457535947712,0.08585661494613106,0.12037690985655747,0.27756874178342583,0.6134429628624939,0.6242800487556324,0.3239894950911414,0.2926936401378791,0.3929891479706453
R1_b4,1,288.6363290849673,0.17047874162593568,-0.5292537083628908,0.27753580579202386,0.6415427980149528,,0.4858020018453457,,0.605596854936097
R1_b5,1,252.39664689542485,-0.002280165827198033,-1.3077411720619025,0.17589376156258563,0.644615115898352,,,,
R1_b6,1,277.9402952614379,0.21696023049178292,-0.5905573476801065,0.2988540756943626,0.6948135762078871,,0.49378003115525915,,0.5966235097831025
R1_b7,1,290.5284970588235,0.18595316695115294,0.0064451394905441495,0.3445740534176648,0.6595511148045827,0.6458638962270644,0.36113720648015724,0.19641264237142264,0.4256695169388516
R1_b8,1,349.8738485294117,0.3345102743481697,-1.0306413271763235,0.3305848629013214,0.6960254334023255,,0.5808176729109831,,0.6735303323238435
R1_b9,1,280.1291235294118,0.021779767065822853,-0.13882341682759947,0.4046104412496182,0.6038684765351174,,0.3395169063737318,,0.45566876098578746
R1_b10,1,370.97597581699347,0.23436383297466423,-0.4563250449585312,0.4051451515476515,0.5800482124485051,,0.4782397569688599,,0.5671724866045744
R1_b11,1,347.659322875817,-0.024883136102338943,-0.8916784318772599,0.3044624555266823,0.3777000560935282,,,,
R1_b12,1,275.74274052287586,0.15127462999262942,0.20757522184791344,0.3951675434600974,0.497463254284193,0.6658116272810791,0.35830642450299854,0.4670539126957074,0.4083044934800729
R1_b13,1,285.95949738562086,0.023053246461514965,-0.46183946716929003,0.3433835472474541,0.3692026169316891,,0.4337907157041626,,0.5684906604076105
R1_b14,1,298.94670147058827,-0.09947357476278795,-1.3241110061555235,0.2527245050858766,0.6723285520544569,,,,
R1_b15,1,326.8846147058823,0.276578417412246,-0.019546643276427966,0.4651354396515561,0.7397133989598361,,0.3701037452100616,,0.4112725596135749
R1_b16,1,229.83604705882354,-0.19859289465882202,-0.40765376778380813,0.27683010488346027,0.2769782848786735,,,,
R1_b17,1,381.8219594771242,0.13877808135187442,-0.37319714140041316,0.36364588564503286,0.5121691251651663,,0.42047232611440555,,0.523549813251726
R1_b18,1,221.9751506535948,0.2017005109597142,-0.18046964939832444,0.3693302980371679,0.705633945268157,,0.42125112094829076,,0.5008436412712678
R1_b19,1,224.7841838235294,-0.05200335786132637,0.30676897700488726,0.4159025960879431,0.6421099794119518,0.6049638506261281,,0.4944395340076178,
R2_b0,2,619.1857431372549,0.31044963228731715,-0.7679494255131991,0.40517151143468766,0.5930089481939449,,0.5671612809492166,,0.6639760547182191
R2_b1,2,584.9844682539683,0.3211020919385964,-0.7722338368978365,0.35811240746363127,0.5453680461981605,,0.581929352324413,,0.681423747386649
R2_b2,2,410.7228,0.20730794589440837,0.32247393624912346,0.36765022609566755,0.5149913761787754,0.7045093878418789,0.3898579780722219,0.6361213972859663,0.427242737275197
R2_b3,2,627.647346732026,0.3162559269907983,-0.936017375133434,0.3160886030498954,0.4104344498631932,,0.5945891748415619,,0.6954750728432006
R2_b4,2,405.0549352941177,-0.12422890089026195,0.31453498406527935,0.2786041320014093,0.6321724494044303,0.5793717668000964,,0.47176723631284534,
